key,title,authors,year,venue,doi,url,discovery_url,cited_in_sections
Nichol2022GLIDE,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,"Nichol, Alex; Dhariwal, Prafulla; Ramesh, Aditya; Shyam, Pranav; Mishkin, Pamela; McGrew, Bob; Sutskever, Ilya; Chen, Mark",2022,Proceedings of the 39th International Conference on Machine Learning,,,https://scholar.google.com/scholar?q=%22GLIDE%3A%20Towards%20Photorealistic%20Image%20Generation%20and%20Editing%20with%20Text-Guided%20Diffusion%20Models%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Kumar2022HateCLIPper,Hate-CLIPper: Multimodal Hateful Meme Classification Based on Cross-Modal Interaction of CLIP Features,"Kumar, Gokul Karthik; Nandakumar, Karthik",2022,Proceedings of the Second Workshop on NLP for Positive Impact,,,https://scholar.google.com/scholar?q=%22Hate-CLIPper%3A%20Multimodal%20Hateful%20Meme%20Classification%20Based%20on%20Cross-Modal%20Interaction%20of%20CLIP%20Features%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Kirk2022Hatemoji,Hatemoji: A Test Suite and Adversarially-Generated Dataset for Benchmarking and Detecting Emoji-Based Hate,"Kirk, Hannah Rose; Vidgen, Bertie; Rottger, Paul",2022,Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,,,https://scholar.google.com/scholar?q=%22Hatemoji%3A%20A%20Test%20Suite%20and%20Adversarially-Generated%20Dataset%20for%20Benchmarking%20and%20Detecting%20Emoji-Based%20Hate%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Rombach2022LDM,High-Resolution Image Synthesis with Latent Diffusion Models,"Rombach, Robin; Blattmann, Andreas; Lorenz, Dominik; Esser, Patrick; Ommer, Bjorn",2022,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,https://scholar.google.com/scholar?q=%22High-Resolution%20Image%20Synthesis%20with%20Latent%20Diffusion%20Models%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Gordon2022JuryLearning,Jury Learning: Integrating Dissenting Voices into Machine Learning Models,"Gordon, Mitchell L.; Lam, Michelle S.; Park, Joon Sung; Patel, Kayur; Hancock, Jeffrey T.; Hashimoto, Tatsunori; Bernstein, Michael S.",2022,Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,,,https://scholar.google.com/scholar?q=%22Jury%20Learning%3A%20Integrating%20Dissenting%20Voices%20into%20Machine%20Learning%20Models%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence
Schuhmann2022LAION,LAION-5B: An Open Large-Scale Dataset for Training Next Generation Image-Text Models,"Schuhmann, Christoph; Beaumont, Romain; Vencu, Richard; Gordon, Cade; Wightman, Ross; Cherti, Mehdi; Coombes, Theo; Katta, Aarush; Mullis, Clayton; Wortsman, Mitchell; Schramowski, Patrick; Kundurthy, Srivatsa; Crowson, Katherine; Schmidt, Ludwig; Kaczmarczyk, Robert; Jitsev, Jenia",2022,Advances in Neural Information Processing Systems Datasets and Benchmarks Track,,,https://scholar.google.com/scholar?q=%22LAION-5B%3A%20An%20Open%20Large-Scale%20Dataset%20for%20Training%20Next%20Generation%20Image-Text%20Models%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
Hu2022LoRA,LoRA: Low-Rank Adaptation of Large Language Models,"Hu, Edward J.; Shen, Yelong; Wallis, Phillip; Allen-Zhu, Zeyuan; Li, Yuanzhi; Wang, Shean; Wang, Lu; Chen, Weizhu",2022,International Conference on Learning Representations,,,https://scholar.google.com/scholar?q=%22LoRA%3A%20Low-Rank%20Adaptation%20of%20Large%20Language%20Models%22,7 Hidden Components as Toxicity Control Channels
Rottger2022MultilingualHateCheck,Multilingual HateCheck: Functional Tests for Multilingual Hate Speech Detection Models,"Rottger, Paul; Seelawi, Haitham; Nozza, Debora; Talat, Zeerak; Vidgen, Bertie",2022,Proceedings of the Sixth Workshop on Online Abuse and Harms,,,https://scholar.google.com/scholar?q=%22Multilingual%20HateCheck%3A%20Functional%20Tests%20for%20Multilingual%20Hate%20Speech%20Detection%20Models%22,4 Content Measurement: From Labels to Policy-Conditioned Evidence; 10 Cross-Cutting Synthesis and Research Agenda
Perez2022RedTeamLMs,Red Teaming Language Models with Language Models,"Perez, Ethan; Huang, Saffron; Song, Francis; Cai, Trevor; Ring, Roman; Aslanides, John; Glaese, Amelia; McAleese, Nat; Irving, Geoffrey",2022,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,,,https://scholar.google.com/scholar?q=%22Red%20Teaming%20Language%20Models%20with%20Language%20Models%22,5 Interactive Behavior: From Output Scores to Trajectory-Level Safety; 8 Adaptive Evasion and Detection–Mitigation Coupling
Fersini2022MAMI,SemEval-2022 Task 5: Multimedia Automatic Misogyny Identification,"Fersini, Elisabetta; Gasparini, Francesca; Rizzi, Giulia; Saibene, Aurora; Chulvi, Berta; Rosso, Paolo; Lees, Alyssa; Sorensen, Jeffrey",2022,Proceedings of the 16th International Workshop on Semantic Evaluation,,,https://scholar.google.com/scholar?q=%22SemEval-2022%20Task%205%3A%20Multimedia%20Automatic%20Misogyny%20Identification%22,"6 Compositional Semantics, Generation Risk, and Visual Safety"
